a,d,
1CC1,Cha Cha Congelado 1st section Level 1,
1CC2,Cha Cha Congelado 1st section Level 2,
1CC3,Cha Cha Congelado 1st section Level 3,
1CC4,Cha Cha Congelado 1st section Level 4,
2CC1,Cha Cha Congelado 2nd section Level 1,
2CC2,Cha Cha Congelado 2nd section Level 2,
2CC3,Cha Cha Congelado 2nd section Level 3,
2CC4,Cha Cha Congelado 2nd section Level 4,
1RH1,Rhumba 1st section Level 1,
1RH2,Rhumba 1st section Level 2,
1RH3,Rhumba 1st section Level 3,
1RH4,Rhumba 1st section Level 4,
