a,d,
StaLi1,Stationary Lift Level 1,
StaLi2,Stationary Lift Level 2,
StaLi3,Stationary Lift Level 3,
StaLi4,Stationary Lift Level 4,
SlLi1,Straight Line Lift Level 1,
SlLi2,Straight Line Lift Level 2,
SlLi3,Straight Line Lift Level 3,
SlLi4,Straight Line Lift Level 4,
CuLi1,Curve Lift Level 1,
CuLi2,Curve Lift Level 2,
CuLi3,Curve Lift Level 3,
CuLi4,Curve Lift Level 4,
RoLi1,Rotational Lift Level 1,
RoLi2,Rotational Lift Level 2,
RoLi3,Rotational Lift Level 3,
RoLi4,Rotational Lift Level 4,
