a,d,
1TwB,Single Twist Level B,
1Tw1,Single Twist Level 1,
1Tw2,Single Twist Level 2,
1Tw3,Single Twist Level 3,
1Tw4,Single Twist Level 4,
2TwB,Double Twist Level B,
2Tw1,Double Twist Level 1,
2Tw2,Double Twist Level 2,
2Tw3,Double Twist Level 3,
2Tw4,Double Twist Level 4,
3TwB,Triple Twist Level B,
3Tw1,Triple Twist Level 1,
3Tw2,Triple Twist Level 2,
3Tw3,Triple Twist Level 3,
3Tw4,Triple Twist Level 4,
4TwB,Quadruple Twist Level B,
4Tw1,Quadruple Twist Level 1,
4Tw2,Quadruple Twist Level 2,
4Tw3,Quadruple Twist Level 3,
4Tw4,Quadruple Twist Level 4,
1TwB<<,Single Twist Level B downgrade,
1Tw1<<,Single Twist Level 1 downgrade,
1Tw2<<,Single Twist Level 2 downgrade,
1Tw3<<,Single Twist Level 3 downgrade,
1Tw4<<,Single Twist Level 4 downgrade,
2TwB<<,Double Twist Level B downgrade,
2Tw1<<,Double Twist Level 1 downgrade,
2Tw2<<,Double Twist Level 2 downgrade,
2Tw3<<,Double Twist Level 3 downgrade,
2Tw4<<,Double Twist Level 4 downgrade,
3TwB<<,Triple Twist Level B downgrade,
3Tw1<<,Triple Twist Level 1 downgrade,
3Tw2<<,Triple Twist Level 2 downgrade,
3Tw3<<,Triple Twist Level 3 downgrade,
3Tw4<<,Triple Twist Level 4 downgrade,
4TwB<<,Quadruple Twist Level B downgrade,
4Tw1<<,Quadruple Twist Level 1 downgrade,
4Tw2<<,Quadruple Twist Level 2 downgrade,
4Tw3<<,Quadruple Twist Level 3 downgrade,
4Tw4<<,Quadruple Twist Level 4 downgrade,
