a,d,
1WTh,Throw Waltz Jump,
1WTh<,Throw Waltz Jump underrotate,
1TTh,Throw ToeLoop,
1STh,Throw Salchow,
1LoTh,Throw Loop,
1FTh,Throw Flip,
1LzTh,Throw Lutz,
1ATh,Throw Axel,
2TTh,Throw Double Toeloop,
2STh,Throw Double Salchow,
2LoTh,Throw Double Loop,
2FTh,Throw Double Flip,
2LzTh,Throw Double Lutz,
2ATh,Throw Double Axel,
3TTh,Throw Triple Toeloop,
3STh,Throw Triple Salchow,
3LoTh,Throw Triple Loop,
3FTh,Throw Triple Flip,
3LzTh,Throw Triple Lutz,
3ATh,Throw Triple Axel,
4TTh,Throw quadruple Toeloop,
4STh,Throw quadruple Salchow,
4LoTh,Throw quadruple Loop,
4FTh,Throw quadruple Flip,
4LzTh,Throw quadruple Lutz,
1TTh<,Throw Single ToeLoop underrotate,
1STh<,Throw Single Salchow underrotate,
1LoTh<,Throw Single Loop underrotate,
1FTh<,Throw Single Flip underrotate,
1LzTh<,Throw Single Lutz underrotate,
1ATh<,Throw Single Axel underrotate,
2TTh<,Throw Double Toeloop underrotate,
2STh<,Throw Double Salchow underrotate,
2LoTh<,Throw Double Loop underrotate,
2FTh<,Throw Double Flip underrotate,
2LzTh<,Throw Double Lutz underrotate,
2ATh<,Throw Double Axel underrotate,
3TTh<,Throw Triple Toeloop underrotate,
3STh<,Throw Triple Salchow underrotate,
3LoTh<,Throw Triple Loop underrotate,
3FTh<,Throw Triple Flip underrotate,
3LzTh<,Throw Triple Lutz underrotate,
3ATh<,Throw Triple Axel underrotate,
4TTh<,Throw quadruple Toeloop underrotate,
4STh<,Throw quadruple Salchow underrotate,
4LoTh<,Throw quadruple Loop underrotate,
4FTh<,Throw quadruple Flip underrotate,
4LzTh<,Throw quadruple Lutz underrotate,
1TTh<<,Throw ToeLoop downgrade,
1STh<<,Throw Salchow downgrade,
1LoTh<<,Throw Loop downgrade,
1FTh<<,Throw Flip downgrade,
1LzTh<<,Throw Lutz downgrade,
1ATh<<,Throw Axel downgrade,
2TTh<<,Throw Double Toeloop downgrade,
2STh<<,Throw Double Salchow downgrade,
2LoTh<<,Throw Double Loop downgrade,
2FTh<<,Throw Double Flip downgrade,
2LzTh<<,Throw Double Lutz downgrade,
2ATh<<,Throw Double Axel downgrade,
3TTh<<,Throw Triple Toeloop downgrade,
3STh<<,Throw Triple Salchow downgrade,
3LoTh<<,Throw Triple Loop downgrade,
3FTh<<,Throw Triple Flip downgrade,
3LzTh<<,Throw Triple Lutz downgrade,
3ATh<<,Throw Triple Axel downgrade,
4TTh<<,Throw quadruple Toeloop downgrade,
4STh<<,Throw quadruple Salchow downgrade,
4LoTh<<,Throw quadruple Loop downgrade,
4FTh<<,Throw quadruple Flip downgrade,
4LzTh<<,Throw quadruple Lutz downgrade,
