a,d,
AT1Sq1Se1,Argentine Tango Sequence 1st Section,
AT1Sq1Se2,Argentine Tango Sequence 1st Section,
AT1Sq1Se3,Argentine Tango Sequence 1st Section,
AT1Sq1Se4,Argentine Tango Sequence 1st Section,
AT1Sq2Se1,Argentine Tango 1st Sequence 2nd Section,
AT1Sq2Se2,Argentine Tango 1st Sequence 2nd Section,
AT1Sq2Se3,Argentine Tango 1st Sequence 2nd Section,
AT1Sq2Se4,Argentine Tango 1st Sequence 2nd Section,
AT2Sq1Se1,Argentine Tango 2nd Sequence 1st Section,
AT2Sq1Se2,Argentine Tango 2nd Sequence 1st Section,
AT2Sq1Se3,Argentine Tango 2nd Sequence 1st Section,
AT2Sq1Se4,Argentine Tango 2nd Sequence 1st Section,
AT2Sq2Se1,Argentine Tango 2nd Sequence 2nd Section,
AT2Sq2Se2,Argentine Tango 2nd Sequence 2nd Section,
AT2Sq2Se3,Argentine Tango 2nd Sequence 2nd Section,
AT2Sq2Se4,Argentine Tango 2nd Sequence 2nd Section,
CC1Sq1Se1,Cha Cha Congelado 1st Sequence 1st Section,
CC1Sq1Se2,Cha Cha Congelado 1st Sequence 1st Section,
CC1Sq1Se3,Cha Cha Congelado 1st Sequence 1st Section,
CC1Sq1Se4,Cha Cha Congelado 1st Sequence 1st Section,
CC1Sq2Se1,Cha Cha Congelado 1st Sequence 2nd Section,
CC1Sq2Se2,Cha Cha Congelado 1st Sequence 2nd Section,
CC1Sq2Se3,Cha Cha Congelado 1st Sequence 2nd Section,
CC1Sq2Se4,Cha Cha Congelado 1st Sequence 2nd Section,
CC2Sq1Se1,Cha Cha Congelado 2nd Sequence 1st Section,
CC2Sq1Se2,Cha Cha Congelado 2nd Sequence 1st Section,
CC2Sq1Se3,Cha Cha Congelado 2nd Sequence 1st Section,
CC2Sq1Se4,Cha Cha Congelado 2nd Sequence 1st Section,
CC2Sq2Se1,Cha Cha Congelado 2nd Sequence 2nd Section,
CC2Sq2Se2,Cha Cha Congelado 2nd Sequence 2nd Section,
CC2Sq2Se3,Cha Cha Congelado 2nd Sequence 2nd Section,
CC2Sq2Se4,Cha Cha Congelado 2nd Sequence 2nd Section,
AT1Sq1Se,Argentine Tango 1st Sequence 1st Section (steps 1-18),
AT1Sq2Se,Argentine Tango 1st Sequence 2nd Section (steps 19-31),
AT2Sq1Se,Argentine Tango 2nd Sequence 1st Section (steps 1-18),
AT2Sq2Se,Argentine Tango 2nd Sequence 2nd Section (steps 19-31),
OW1Sq1Se,Austrian Waltz 1st Sequence 1st Section (steps 1-16),
OW1Sq2Se,Austrian Waltz 1st Sequence 2nd Section (steps 17-36),
OW2Sq1Se,Austrian Waltz 2nd Sequence 1st Section (steps 1-16),
OW2Sq2Se,Austrian Waltz 2nd Sequence 2nd Section (steps 17-36),
AW1Sq,American Waltz 1st Sequence (Steps 1-16),
AW2Sq,American Waltz 2nd Sequence (Steps 1-16),
BL1Sq,Blues 1st Sequence (Steps 1-17),
BL2Sq,Blues 2nd Sequence (Steps 1-17),
BL3Sq,Blues 3rd Sequence (Steps 1-17),
BB11,Baby Blues 1st Sequence, 1st Section (steps 1-7),
BB21,Baby Blues 1st Sequence, 2nd Section (steps 8-14),
BB12,Baby Blues 2nd Sequence, 1st Section (steps 1-7),
BB22,Baby Blues 2nd Sequence, 2nd Section (steps 8-14),
BB13,Baby Blues 3rd Sequence, 1st Section (steps 1-7),
BB23,Baby Blues 3rd Sequence, 2nd Section (steps 8-14),
CC1Sq,Cha Cha Congelado 1st Sequence (Steps 1-38),
CC2Sq,Cha Cha Congelado 2nd Sequence (Steps 1-38),
CT11,Canasta Tango 1st Sequence, 1st Section (steps 1-8),
CT21,Canasta Tango 1st Sequence, 2nd Section (steps 9-14),
CT12,Canasta Tango 2nd Sequence, 1st Section (steps 1-8),
CT22,Canasta Tango 2nd Sequence, 2nd Section (steps 9-14),
CT13,Canasta Tango 3rd Sequence, 1st Section (steps 1-8),
CT23,Canasta Tango 3rd Sequence, 2nd Section (steps 9-14),
DW11,Dutch Waltz 1st Sequence, 1st Section (steps 1-8),
DW21,Dutch Waltz 1st Sequence, 2nd Section (steps 9-16),
DW12,Dutch Waltz 2nd Sequence, 1st Section (steps 1-8),
DW22,Dutch Waltz 2nd Sequence, 2nd Section (steps 9-16),
DW13,Dutch Waltz 3rd Sequence, 1st Section (steps 1-8),
DW23,Dutch Waltz 3rd Sequence, 2nd Section (steps 9-16),
EW1Sq,European Waltz 1st Sequence (Steps 1-18),
EW2Sq,European Waltz 2nd Sequence (Steps 1-18),
FS1Sq1Se,Finnstep 1st Sequence 1st Section (steps 1-27),
FS1Sq2Se,Finnstep 1st Sequence 2nd Section (steps 28-70),
FS2Sq1Se,Finnstep 2nd Sequence 1st Section (steps 1-27),
FS2Sq2Se,Finnstep 2nd Sequence 2nd Section (steps 28-70),
FO1Sq,Fourteenstep 1st Sequence (Steps 1-14),
FO2Sq,Fourteenstep 2nd Sequence (Steps 1-14),
FO3Sq,Fourteenstep 3rd Sequence (Steps 1-14),
FO4Sq,Fourteenstep 4th Sequence (Steps 1-14),
FT1Sq,Foxtrot 1st Sequence (Steps 1-14),
FT2Sq,Foxtrot 2nd Sequence (Steps 1-14),
FT3Sq,Foxtrot 3rd Sequence (Steps 1-14),
FT4Sq,Foxtrot 4th Sequence (Steps 1-14),
FTG11,Fiesta Tango 1st Sequence, 1st Section (steps 1-8),
FTG21,Fiesta Tango 1st Sequence, 2nd Section (steps 9-16),
FTG12,Fiesta Tango 2nd Sequence, 1st Section (steps 1-8),
FTG22,Fiesta Tango 2nd Sequence, 2nd Section (steps 9-16),
FTG13,Fiesta Tango 3rd Sequence, 1st Section (steps 1-8),
FTG23,Fiesta Tango 3rd Sequence, 2nd Section (steps 9-16),
